"","well","SangerID","carbon.x","temperature","color","tmp","Acetate","Lactate","CorrectedOD","CellNperML","Cacid","Tmatches","glucose","glucose_consumption","Cglucose_consumption","Cglucose_consumption_percell","Cacid_percell","acid_glu_ratio","acid_glu_ratio_per_cell","carbon_source","Fermenter","mean_r","mean_lag","ID","rmax","topt","a","rssq","carbon.y","temp_origin","fermenter","subopt","high_temp"
"1","A2","894","Glu",12,"blue",12,2.253708798,0,0.09808125,2653048772,4.507417596,"Yes",0.174243639,0.533243897973684,52.7600429794516,1.98865710786306e-11,1.6989576835416e-12,0.0854324094799449,0.0854324094799449,"glucose","Fermenter",0.116970238444535,9.49039420977634,"A2_glucose_12_Fermenter",0.645049650720963,26.3754179251936,3.07153869101788,0.0149456064668825,"glucose",12,"Fermenter",FALSE,FALSE
"2","A3","898","Gal",12,"blue",12,1.286691764,0,0.07428125,2009270672,2.573383527,"Yes",0.149076257,0.558411279973684,55.2501458405363,2.74976122482996e-11,1.28075503358564e-12,0.0465769544650132,0.0465769544650132,"glucose","Fermenter",0.111110146714909,5.83952713955358,"A3_glucose_12_Fermenter",0.317236592492694,25.1802034991297,9.49988757237662,0.0072959813705587,"glucose",12,"Fermenter",FALSE,FALSE
"3","A4","900","Glu",42,"blue",12,0.319674729,0,0.00218125,59001721.88,0.639349459,"No",0.162808978,0.544678558973684,53.8914074603354,9.13387029109791e-10,1.08361152628788e-11,0.0118636623003503,0.0118636623003503,"glucose","Fermenter",0.0541045547331456,29.7065285568627,"A4_glucose_40_Fermenter",0.354914271632177,38.8876364350134,14.2408059965644,0.00123689375846948,"glucose",40,"Fermenter",FALSE,FALSE
"4","A5","904","Gal",42,"blue",12,0.737073503,0,0.00488125,132035371.9,1.474147006,"No",0.15548265,0.552004886973684,54.6162866040638,4.13648901942948e-10,1.11647885319434e-11,0.026990978289804,0.026990978289804,"glucose","Fermenter",0.115082070341243,32.3967837568811,"A5_glucose_40_Fermenter",0.560612416406961,42,15.4774759690439,0.0113133386261399,"glucose",40,"Fermenter",FALSE,FALSE
"5","A6","916","Glu",37,"blue",12,1.408541095,0,0.02248125,608106571.9,2.81708219,"No",0.170350787,0.537136749973684,53.1452082661301,8.73945632590032e-11,4.63254685966994e-12,0.0530072659776432,0.0530072659776432,"glucose","Fermenter",0.093383357892043,10.9386530551137,"A6_glucose_37_Fermenter",0.615733400534081,42,15.7589130722415,0.0792179830758047,"glucose",37,"Fermenter",FALSE,FALSE
"6","A7","920","Gal",37,"blue",12,1.491502342,0,0.01538125,416055121.9,2.983004684,"No",0.167254738,0.540232798973684,53.4515365315397,1.28472247348963e-10,7.16973431399547e-12,0.0558076507723935,0.0558076507723935,"glucose","Fermenter",0.0958075859424988,12.421270850942,"A7_glucose_37_Fermenter",0.556871802452878,42,16.149047138765,0.0568326428492814,"glucose",37,"Fermenter",FALSE,FALSE
"7","A8","932","Glu",30,"blue",12,0,0,0.01438125,389005621.9,0,"No",0.162227655,0.545259881973684,53.9489245300693,1.38684177021837e-10,0,0,0,"glucose","Fermenter",0.0688160143243098,25.0292146175858,"A8_glucose_30_Fermenter",0.332428121736282,30.9392931730922,7.5702601502773,0.0348890731526114,"glucose",30,"Fermenter",FALSE,FALSE
"8","A9","936","Gal",30,"blue",12,0.563373392,0,0.11258125,3045266522,1.126746784,"No",0.162912772,0.544574764973684,53.8811379084065,1.76934063140784e-11,3.69999399349782e-13,0.0209117109945855,0.0209117109945855,"glucose","Fermenter",0.1058590314264,16.8225909654291,"A9_glucose_30_Fermenter",0.393762209218432,29.2550517741263,8.47241587942261,0.0264432686617904,"glucose",30,"Fermenter",FALSE,FALSE
"9","A10","945","Glu",22,"blue",12,1.128546887,0,0.08498125,2298700322,2.257093774,"No",0.146082818,0.561404718973684,55.5463217009569,2.41642293122526e-11,9.81899968603215e-13,0.040634441757484,0.040634441757484,"glucose","Fermenter",0.12584087171496,9.93179303344701,"A10_glucose_22_Fermenter",0.38562563854326,22.0548881616896,13.0736025205923,0.01897125123182,"glucose",22,"Fermenter",FALSE,FALSE
"10","A11","947","Gal",22,"blue",12,1.29706192,0,0.10978125,2969527922,2.594123839,"No",0.163648009,0.543839527973684,53.8083923301308,1.81201839967514e-11,8.7358122473987e-13,0.0482103948225077,0.0482103948225077,"glucose","Fermenter",0.124573598181571,12.6058247166338,"A11_glucose_22_Fermenter",0.349742058586689,24.4855272003578,12.0539338289101,0.0307636713115071,"glucose",22,"Fermenter",FALSE,FALSE
"11","B2","895","Glu",12,"blue",12,1.512242654,0,0.06238125,1687381622,3.024485308,"Yes",0.143600059,0.563887477973684,55.7919700281959,3.3064227617975e-11,1.79241332758808e-12,0.0542100468306013,0.0542100468306013,"glucose","Fermenter",0.121315921127611,6.30683692309615,"B2_glucose_12_Fermenter",0.271494856788626,24.4480911211716,10.3877792953868,0.0123943614130484,"glucose",12,"Fermenter",FALSE,FALSE
"12","B3","899","Gal",12,"blue",12,2.803327059,0,0.10208125,2761246772,5.606654118,"Yes",0.158314281,0.549173255973684,54.3361202977457,1.96781109347896e-11,2.03047919325915e-12,0.103184660356264,0.103184660356264,"glucose","Fermenter",0.112144956686996,7.03435359832378,"B3_glucose_12_Fermenter",0.313109631183428,26.1685791618985,8.6390317312754,0.00924615769241054,"glucose",12,"Fermenter",FALSE,FALSE
"13","B4","901","Glu",42,"blue",12,1.724830849,0.154987385,0.03178125,859666921.9,3.914623852,"No",0.152285176,0.555202360973684,54.9326500285806,6.38999228994071e-11,4.55365182988321e-12,0.0712622429459216,0.0712622429459216,"glucose","Fermenter",0.100033968319829,6.77322889429804,"B4_glucose_40_Fermenter",0.543351055469832,42,16.2919685570738,0.0227963387497514,"glucose",40,"Fermenter",FALSE,FALSE
"14","B5","905","Gal",42,"blue",12,1.657424836,0,0.04538125,1227540122,3.314849672,"No",0.154703448,0.552784088973684,54.6933821529597,4.45552704736438e-11,2.7004002660208e-12,0.0606078750575241,0.0606078750575241,"glucose","Fermenter",0.0889079062640765,6.55720031140326,"B5_glucose_40_Fermenter",0.524726675580153,35.5281580861578,11.0488618733327,0.00414607837452519,"glucose",40,"Fermenter",FALSE,FALSE
"15","B6","917","Glu",37,"blue",12,1.17002751,0,0.02128125,575647171.9,2.340055021,"No",0.153889043,0.553598493973684,54.7739607455436,9.51519670716958e-11,4.06508558580482e-12,0.0427220341408374,0.0427220341408374,"glucose","Fermenter",0.0895342468257512,21.7033616771973,"B6_glucose_37_Fermenter",0.470270751902584,33.6830696245961,9.97122509935006,0.0127206325600839,"glucose",37,"Fermenter",FALSE,FALSE
"16","B7","921","Gal",37,"blue",12,2.352225279,0,0.05718125,1546724222,4.704450558,"No",0.157659948,0.549827588973684,54.4008610989701,3.51716617126658e-11,3.04155743544049e-12,0.0864775016969182,0.0864775016969182,"glucose","Fermenter",0.0995244271720941,7.18311533501158,"B7_glucose_37_Fermenter",0.428754036634501,32.7748846427206,9.97138943008838,0.0247633086906964,"glucose",37,"Fermenter",FALSE,FALSE
"17","B8","933","Glu",30,"blue",12,0.864107912,0,0.00228125,61706671.88,1.728215824,"No",0.128376341,0.579111195973684,57.2982301448877,9.28558102376914e-10,2.80069524307004e-11,0.0301617662470539,0.0301617662470539,"glucose","Fermenter",0.0939462432272184,20.9886951274578,"B8_glucose_30_Fermenter",0.272424845646873,33.3880443377732,16.9493558215255,0.0170857141474662,"glucose",30,"Fermenter",FALSE,FALSE
"18","B9","937","Gal",30,"blue",12,0.923736308,0,0.01848125,499908571.9,1.847472617,"No",0.148082759,0.559404777973684,55.3484441940275,1.10717133702399e-10,3.69562100121292e-12,0.0333789439595369,0.0333789439595369,"glucose","Fermenter",0.0778773811410442,11.6952472367437,"B9_glucose_30_Fermenter",0.45202333459623,33.1177805033243,9.74477149196107,0.0164667594075266,"glucose",30,"Fermenter",FALSE,FALSE
"19","B10","946","Glu",22,"blue",12,0.985957244,0,0.06248125,1690086572,1.971914487,"No",0.150841379,0.556646157973684,55.0755017181416,3.25873849485514e-11,1.16675353775901e-12,0.0358038406457305,0.0358038406457305,"glucose","Fermenter",0.0967324735142973,9.78231229888463,"B10_glucose_22_Fermenter",0.483185080929787,32.3090954111936,6.51040260654919,0.0623385935669381,"glucose",22,"Fermenter",FALSE,FALSE
"20","B11","948","Gal",22,"blue",12,1.009290094,0,0.06858125,1855088522,2.018580189,"No",0.150753135,0.556734401973684,55.0842327270671,2.9693587165145e-11,1.08813146384181e-12,0.0366453354992112,0.0366453354992112,"glucose","Fermenter",0.107668545733595,11.2505602612759,"B11_glucose_22_Fermenter",0.450393525190615,30.6208867766495,8.3058247173278,0.0595006504189654,"glucose",22,"Fermenter",FALSE,FALSE
"21","C9","938","Gal",30,"blue",12,1.252988757,0,0.04508125,1219425272,2.505977514,"No",0.150710907,0.556776629973684,55.0884108360026,4.51757168732867e-11,2.05504803905688e-12,0.0454901035620769,0.0454901035620769,"glucose","Fermenter",0.098692528700319,10.7928283807092,"C9_glucose_30_Fermenter",0.26808482544781,28.1877438764618,17.3600996966949,0.00672595365507144,"glucose",30,"Fermenter",FALSE,FALSE
"22","D2","897","Rib",12,"blue",12,3.594051444,0,0.10258125,2774771522,7.188102888,"Yes",0.139218233,0.568269303973684,56.2255152201183,2.02631152778994e-11,2.59052063602662e-12,0.127844144421962,0.127844144421962,"glucose","Fermenter",0.0951204871198078,12.7440637859637,"D2_glucose_12_Fermenter",0.523438127277957,26.9449298660242,3.4369784738932,0.0259380697759988,"glucose",12,"Fermenter",FALSE,FALSE
"23","E2","892","Fru",12,"blue",12,2.282226727,0,0.06628125,1792874672,4.564453454,"Yes",0.159203433,0.548284103973684,54.2481461119865,3.0257634267024e-11,2.54588540140858e-12,0.0841402661867453,0.0841402661867453,"glucose","Fermenter",0.112976646898929,8.12501423267685,"E2_glucose_12_Fermenter",0.260654863865376,19.869083290391,10.9148057610908,0.0182971123040762,"glucose",12,"Fermenter",FALSE,FALSE
"24","E3","896","Rib",12,"blue",12,2.131859467,0,0.09298125,2515096322,4.263718934,"Yes",0.149737931,0.557749605973684,55.1846787084959,2.19413778413914e-11,1.69525075310416e-12,0.0772627300508969,0.0772627300508969,"glucose","Fermenter",0.108585902832713,9.8944975560239,"E3_glucose_12_Fermenter",0.215840790785439,17.2901368032894,18.7454803355969,0.0303260770165671,"glucose",12,"Fermenter",FALSE,FALSE
"25","E4","908","Fru",42,"blue",12,1.590018823,0,0.02928125,792043171.9,3.180037646,"No",0.155616043,0.551871493973684,54.6030884775781,6.89395356399488e-11,4.01498019151095e-12,0.0582391534007427,0.0582391534007427,"glucose","Fermenter",0.0880251835504952,6.07778498348159,"E4_glucose_40_Fermenter",0.514201111780572,33.4764996162495,9.17547889803427,0.0105867741269254,"glucose",40,"Fermenter",FALSE,FALSE
"26","E5","912","Rib",42,"blue",12,1.460391874,0,0.01958125,529663021.9,2.920783749,"No",0.139481466,0.568006070973684,56.1994705069085,1.06104198675812e-10,5.51441884412207e-12,0.0519717307415015,0.0519717307415014,"glucose","Fermenter",0.0924212135485733,8.96737214343603,"E5_glucose_40_Fermenter",0.501569892891239,32.1684361972763,8.21891087252112,0.0118781723591451,"glucose",40,"Fermenter",FALSE,FALSE
"27","E6","924","Fru",37,"blue",12,1.87260557,0,0.04838125,1308688622,3.74521114,"No",0.156157506,0.551330030973684,54.5495152228998,4.16825777391834e-11,2.86180461649952e-12,0.0686570930043346,0.0686570930043346,"glucose","Fermenter",0.0917918840317974,6.23707173175042,"E6_glucose_37_Fermenter",0.469381483222124,33.8283877772163,9.65220241753711,0.0183973136176361,"glucose",37,"Fermenter",FALSE,FALSE
"28","E7","928","Rib",37,"blue",12,1.960751895,0,0.04148125,1122047072,3.92150379,"No",0.16227896,0.545208576973684,53.9438483275748,4.80762792165415e-11,3.49495479098759e-12,0.0726960332193323,0.0726960332193323,"glucose","Fermenter",0.0992274819845717,6.85985181687303,"E7_glucose_37_Fermenter",0.398627434279843,33.4842560496489,10.9935534097186,0.0303036671380292,"glucose",37,"Fermenter",FALSE,FALSE
"29","E8","940","Fru",30,"blue",12,0.921143769,0,0.02428125,656795671.9,1.842287539,"No",0.142587776,0.564899760973684,55.8921270010001,8.50981962766495e-11,2.80496297070681e-12,0.0329614855946891,0.0329614855946891,"glucose","Fermenter",0.103030975488766,25.4530970427663,"E8_glucose_30_Fermenter",0.417277818003061,31.3456302682761,10.2983825498394,0.0116490298230108,"glucose",30,"Fermenter",FALSE,FALSE
"30","E9","943","Rib",30,"blue",12,1.211508134,0,0.03148125,851552071.9,2.423016267,"No",0.152233871,0.555253665973684,54.9377262310751,6.45148171720103e-11,2.84541174516048e-12,0.0441047788692325,0.0441047788692325,"glucose","Fermenter",0.119926865841379,9.09042271431294,"E9_glucose_30_Fermenter",0.477381823307382,30.9362351244311,9.77211782980212,0.174323002874565,"glucose",30,"Fermenter",FALSE,FALSE
"31","E10","949","Fru",22,"blue",12,0.848552678,0,0.10008125,2707147772,1.697105357,"No",0.169043303,0.538444233973684,53.2745729195225,1.9679226036547e-11,6.26897938322075e-13,0.0318558228437359,0.0318558228437359,"glucose","Fermenter",0.110349122952593,10.5424615550703,"E10_glucose_22_Fermenter",0.342348929500082,42,30.6191368520211,0.0299906854295614,"glucose",22,"Fermenter",FALSE,FALSE
"32","E11","951","Rib",22,"blue",12,1.252988757,0.196983693,0.08928125,2415013172,3.096928593,"No",0.169329426,0.538158110973684,53.246263431435,2.20480219523353e-11,1.28236509386625e-12,0.0581623647072982,0.0581623647072983,"glucose","Fermenter",0.117717951239724,12.264230714946,"E11_glucose_22_Fermenter",0.322230782845402,24.6532827013208,13.8715646590296,0.0326047039345024,"glucose",22,"Fermenter",FALSE,FALSE
"33","F2","893","Fru",12,"blue",12,4.244778724,0,0.07628125,2063369672,8.489557449,"Yes",0.140850516,0.566637020973684,56.0640144105228,2.71710955003912e-11,4.11441418578726e-12,0.151426142745258,0.151426142745258,"glucose","Fermenter",0.107424939876653,9.92273507891222,"F2_glucose_12_Fermenter",0.424879694718602,29.934605245618,7.11657444152811,0.0259867476783254,"glucose",12,"Fermenter",FALSE,FALSE
"34","F3","897","Rib",12,"blue",12,3.207763138,0,0.11748125,3177809072,6.415526276,"Yes",0.123255172,0.584232364973684,57.8049271695921,1.81901825628598e-11,2.01885202371906e-12,0.110985803289358,0.110985803289358,"glucose","Fermenter",0.112269102487185,8.70158584973114,"F3_glucose_12_Fermenter",0.517562573343819,26.7029535247946,3.9993472537991,0.0143338349632789,"glucose",12,"Fermenter",FALSE,FALSE
"35","F4","809","Fru",42,"blue",12,2.043713142,0,0.03398125,919175821.9,4.087426284,"No",0.160772414,0.546715122973684,54.0929085081274,5.88493596321035e-11,4.44683833779593e-12,0.0755630709594007,0.0755630709594007,"glucose","Fermenter",0.0919965112632132,11.1506407828272,"F4_glucose_40_Fermenter",0.51982222263125,34.3526923546595,9.26109664108894,0.00576775544873706,"glucose",40,"Fermenter",FALSE,FALSE
"36","F5","913","Rib",42,"blue",12,1.356690316,0,0.05618125,1519674722,2.713380632,"No",0.131368596,0.576118940973684,57.0021714314071,3.75094555474267e-11,1.78550093169214e-12,0.047601355595113,0.047601355595113,"glucose","Fermenter",0.0889378408897197,9.11054428961627,"F5_glucose_40_Fermenter",0.559043728545321,32.3670996206672,7.425328951783,0.0179900280569528,"glucose",40,"Fermenter",FALSE,FALSE
"37","F6","925","Fru",37,"blue",12,1.037808023,0,0.04618125,1249179722,2.075616046,"No",0.156910345,0.550577191973684,54.4750280733093,4.36086394246714e-11,1.66158320491853e-12,0.03810215651852,0.03810215651852,"glucose","Fermenter",0.0922409991549709,7.57093413249742,"F6_glucose_37_Fermenter",0.44918578096164,31.8774295488331,6.96771412497306,0.0303204002495637,"glucose",37,"Fermenter",FALSE,FALSE
"38","F7","929","Rib",37,"blue",12,0.138197002,0,0.04178125,1130161922,0.276394003,"No",0.149413685,0.558073851973684,55.2167601499544,4.88573885521108e-11,2.44561418695542e-13,0.00500561790024235,0.00500561790024235,"glucose","Fermenter",0.0954524131563516,6.36323354796479,"F7_glucose_37_Fermenter",0.560031445669085,34.2335950216428,8.48659768594117,0.00709001619910581,"glucose",37,"Fermenter",FALSE,FALSE
"39","F8","941","Fru",30,"blue",12,0,0,0.02178125,589171921.9,0,"No",0.129377179,0.578110357973684,57.1992055595223,9.70840656748587e-11,0,0,0,"glucose","Fermenter",0.0731333972107605,12.0643124590195,"F8_glucose_30_Fermenter",0.426799372394776,33.59243571834,11.6017949070346,0.00843232234611726,"glucose",30,"Fermenter",FALSE,FALSE
"40","F9","944","Rib",30,"blue",12,0.350785197,0,0.10088125,2728787372,0.701570394,"No",0.165222278,0.542265258973684,53.6526315227088,1.96617120385548e-11,2.57099692412385e-13,0.013076159996049,0.013076159996049,"glucose","Fermenter",0.0842185891533321,8.40028643306277,"F9_glucose_30_Fermenter",0.450367481595909,31.4425383921454,7.64657173933072,0.0441684907825391,"glucose",30,"Fermenter",FALSE,FALSE
"41","F10","950","Fru",22,"blue",12,1.64705468,0,0.12598125,3407729822,3.29410936,"No",0.142955986,0.564531550973684,55.8556956878631,1.63908814974895e-11,9.6665801928707e-13,0.0589753528164502,0.0589753528164502,"glucose","Fermenter",0.117308678771412,11.9809370604924,"F10_glucose_22_Fermenter",0.323844527388984,22.3274198056247,14.1608899509065,0.0207205099835442,"glucose",22,"Fermenter",FALSE,FALSE
"42","F11","952","Rib",22,"blue",12,1.265951452,0,0.04098125,1108522322,2.531902904,"No",0.16297931,0.544508226973684,53.8745545274187,4.86003334873925e-11,2.28403420819883e-12,0.0469962661633039,0.0469962661633039,"glucose","Fermenter",0.0892210422175505,8.31832627637913,"F11_glucose_22_Fermenter",0.471511947963146,31.355774827401,7.33517045929444,0.0535016397125369,"glucose",22,"Fermenter",FALSE,FALSE
"43","G9","942","Fru",30,"blue",12,0.918551231,0,0.05488125,1484510372,1.837102461,"No",0.145653041,0.561834495973684,55.5888445560289,3.74459118673163e-11,1.23751406231333e-12,0.0330480418449488,0.0330480418449488,"glucose","Fermenter",0.0922471880179894,19.3209556413925,"G9_glucose_30_Fermenter",0.418594608216378,31.2200687397064,8.99086068654307,0.0324367781087834,"glucose",30,"Fermenter",FALSE,FALSE
"44","G11","953","Rib",22,"blue",12,4.895506005,0,0.05168125,1397951972,9.79101201,"No",0.163178373,0.544309163973684,53.8548589013168,3.85241124015645e-11,7.00382574373592e-12,0.181803688835969,0.181803688835969,"glucose","Fermenter",0.119251859136289,10.7030113093484,"G11_glucose_22_Fermenter",0.308117078861006,16.100257852599,19.8563694526689,0.0129175427885201,"glucose",22,"Fermenter",FALSE,FALSE
"45","A2","894","Glu",12,"blue",22,3.39680347,0,0.063575,1719671963,6.79360694,"No",0.097262639,0.610224897973684,60.3766718504707,3.51094122306573e-11,3.95052491764094e-12,0.112520394579302,0.112520394579302,"glucose","Fermenter",0.20324389700301,5.4399485296899,"A2_glucose_12_Fermenter",0.645049650720963,26.3754179251936,3.07153869101788,0.0149456064668825,"glucose",12,"Fermenter",FALSE,FALSE
"46","A3","898","Gal",12,"blue",22,2.881294345,0,0.039175,1059664163,5.76258869,"No",0.098249075,0.609238461973684,60.279072223069,5.688507201415e-11,5.43812737205873e-12,0.0955984967498329,0.0955984967498329,"glucose","Fermenter",0.182573255171195,2.1906355794638,"A3_glucose_12_Fermenter",0.317236592492694,25.1802034991297,9.49988757237662,0.0072959813705587,"glucose",12,"Fermenter",FALSE,FALSE
"47","A4","900","Glu",42,"blue",22,0.654469041,0,0.055675,1505980913,1.308938081,"No",0.09134402,0.616143516973684,60.9622699117061,4.04801079385965e-11,8.69159807870686e-13,0.0214712818747691,0.0214712818747691,"glucose","Fermenter",0.183727831349305,5.12503320405417,"A4_glucose_40_Fermenter",0.354914271632177,38.8876364350134,14.2408059965644,0.00123689375846948,"glucose",40,"Fermenter",FALSE,FALSE
"48","A5","904","Gal",42,"blue",22,2.50818762,0.021780344,0.049775,1346388863,5.081716271,"No",0.090357583,0.617129953973684,61.0598696380495,4.53508427736078e-11,3.77433029242162e-12,0.0832251411790327,0.0832251411790326,"glucose","Fermenter",0.195876170252486,4.29320158659254,"A5_glucose_40_Fermenter",0.560612416406961,42,15.4774759690439,0.0113133386261399,"glucose",40,"Fermenter",FALSE,FALSE
"49","A6","916","Glu",37,"blue",22,2.237685244,0.260634348,0.060475,1635818513,5.257273532,"No",0.109593095,0.597894441973684,59.156675914299,3.61633490782599e-11,3.21384890207561e-12,0.0888703337492504,0.0888703337492504,"glucose","Fermenter",0.236675383322451,5.53372955765791,"A6_glucose_37_Fermenter",0.615733400534081,42,15.7589130722415,0.0792179830758047,"glucose",37,"Fermenter",FALSE,FALSE
"50","A7","920","Gal",37,"blue",22,2.378843955,0.263259117,0.061475,1662868013,5.547465262,"No",0.11649815,0.590989386973684,58.4734782256619,3.51642329809263e-11,3.33608273093891e-12,0.0948714772976412,0.0948714772976412,"glucose","Fermenter",0.235687880442862,3.91694438331981,"A7_glucose_37_Fermenter",0.556871802452878,42,16.149047138765,0.0568326428492814,"glucose",37,"Fermenter",FALSE,FALSE
"51","A8","932","Glu",30,"blue",22,2.940991421,0.214700886,0.067475,1825165013,6.526085498,"No",0.098249075,0.609238461973684,60.279072223069,3.30266424097123e-11,3.57561395902125e-12,0.108264531243108,0.108264531243108,"glucose","Fermenter",0.185358955161461,4.79171841170859,"A8_glucose_30_Fermenter",0.332428121736282,30.9392931730922,7.5702601502773,0.0348890731526114,"glucose",30,"Fermenter",FALSE,FALSE
"52","A9","936","Gal",30,"blue",22,5.723745746,0.307224002,0.064275,1738606613,12.3691635,"No",0.114525277,0.592962259973684,58.668677579407,3.37446534142494e-11,7.11441185574278e-12,0.210830787574146,0.210830787574146,"glucose","Fermenter",0.222399600958427,3.96633462506901,"A9_glucose_30_Fermenter",0.393762209218432,29.2550517741263,8.47241587942261,0.0264432686617904,"glucose",30,"Fermenter",FALSE,FALSE
"53","A10","945","Glu",22,"blue",22,3.117595271,0,0.040675,1100238413,6.235190542,"Yes",0.117977805,0.589509731973684,58.3270786856176,5.30131269699794e-11,5.6671267502819e-12,0.106900442856184,0.106900442856184,"glucose","Fermenter",0.223345256647235,3.95887351126552,"A10_glucose_22_Fermenter",0.38562563854326,22.0548881616896,13.0736025205923,0.01897125123182,"glucose",22,"Fermenter",FALSE,FALSE
